sex,age,mortality per 1 rate,1-year,5-year,$/notlastyr,$/lastyr,pYLD rate,APC in all-cause mortality
male,0,0.006873569,,,5789.550632,88787.0768,0.019837018,-0.015684801
male,1,0.00060018,,,1422.508601,32470.83936,0.031281779,-0.022192312
male,2,0.000340058,,46400,1422.508601,32470.83936,0.031281779,-0.02219231
male,3,0.000270036,,,1422.508601,32470.83936,0.031281779,-0.02219231
male,4,0.000210022,,,1422.508601,32470.83936,0.031281779,-0.02219231
male,5,0.000160013,,,698.96263,31050.24878,0.03216153,-0.022499907
male,6,0.000130008,,,698.96263,31050.24878,0.03216153,-0.022499907
male,7,0.000120007,,36500,698.96263,31050.24878,0.03216153,-0.022499888
male,8,0.000120007,,,698.96263,31050.24878,0.03216153,-0.022499888
male,9,0.00014001,,,698.96263,31050.24878,0.03216153,-0.022499869
male,10,0.000160013,,,678.0533306,23270.61552,0.035681591,-0.022499949
male,11,0.00020002,,,678.0533306,23270.61552,0.035681591,-0.022499942
male,12,0.000290042,,35200,678.0533306,23270.61552,0.035681591,-0.022499935
male,13,0.000430092,,,678.0533306,23270.61552,0.035681591,-0.02249992
male,14,0.000640205,,,678.0533306,23270.61552,0.035681591,-0.022499913
male,15,0.000880387,,,713.8066693,15461.31407,0.096099432,-0.022914131
male,16,0.001110617,,,713.8066693,15461.31407,0.096099432,-0.022914126
male,17,0.001300846,,34700,713.8066693,15461.31407,0.096099432,-0.022914122
male,18,0.001410995,,,713.8066693,15461.31407,0.096099432,-0.022914116
male,19,0.001461067,,,713.8066693,15461.31407,0.096099432,-0.02291411
male,20,0.001471082,,,753.7071417,8444.326006,0.111790179,-0.02275256
male,21,0.001461067,,,753.7071417,8444.326006,0.111790179,-0.022752553
male,22,0.001441038,,30100,753.7071417,8444.326006,0.111790179,-0.022752546
male,23,0.001410995,,,753.7071417,8444.326006,0.111790179,-0.022752535
male,24,0.001390967,,,753.7071417,8444.326006,0.111790179,-0.022752525
male,25,0.001370939,,,758.2745204,13581.14514,0.127267445,-0.022393801
male,26,0.001360926,,,758.2745204,13581.14514,0.127267445,-0.022392561
male,27,0.001350912,,21100,758.2745204,13581.14514,0.127267445,-0.022390412
male,28,0.001350912,,,758.2745204,13581.14514,0.127267445,-0.022387132
male,29,0.001360926,,,758.2745204,13581.14514,0.127267445,-0.022382472
male,30,0.001390967,,,822.8891357,14102.76541,0.124321632,-0.023789357
male,31,0.001421009,,,822.8891357,14102.76541,0.124321632,-0.023782276
male,32,0.001481096,,19200,822.8891357,14102.76541,0.124321632,-0.023774581
male,33,0.001541187,,,822.8891357,14102.76541,0.124321632,-0.023766278
male,34,0.00163133,,,822.8891357,14102.76541,0.124321632,-0.023757374
male,35,0.001741516,,,900.273102,13426.792,0.129161639,-0.023861112
male,36,0.001871751,,,900.273102,13426.792,0.129161639,-0.023853787
male,37,0.002032063,,19300,900.273102,13426.792,0.129161639,-0.023847245
male,38,0.002212446,,,900.273102,13426.792,0.129161639,-0.023841287
male,39,0.002422933,,,900.273102,13426.792,0.129161639,-0.023836194
male,40,0.002663544,,,1031.402867,18379.09129,0.132588956,-0.025305694
male,41,0.002934301,,,1031.402867,18379.09129,0.132588956,-0.025304199
male,42,0.00324526,,19000,1031.402867,18379.09129,0.132588956,-0.025303913
male,43,0.003576388,,,1031.402867,18379.09129,0.132588956,-0.025304454
male,44,0.003957822,,,1031.402867,18379.09129,0.132588956,-0.025304683
male,45,0.004379576,,,1209.186717,22080.06473,0.143654119,-0.029134457
male,46,0.004831654,,,1209.186717,22080.06473,0.143654119,-0.029133979
male,47,0.005324148,,18100,1209.186717,22080.06473,0.143654119,-0.029133058
male,48,0.005847061,,,1209.186717,22080.06473,0.143654119,-0.029131591
male,49,0.006410503,,,1209.186717,22080.06473,0.143654119,-0.029128296
male,50,0.007004474,,,1400.233895,24980.6078,0.159401839,-0.028141228
male,51,0.007629027,,,1400.233895,24980.6078,0.159401839,-0.028136874
male,52,0.008294303,,15700,1400.233895,24980.6078,0.159401839,-0.028131089
male,53,0.008980202,,,1400.233895,24980.6078,0.159401839,-0.028123631
male,54,0.009696863,,,1400.233895,24980.6078,0.159401839,-0.028114235
male,55,0.010464563,,,1679.577994,27020.31377,0.196647848,-0.028428718
male,56,0.011273306,,,1679.577994,27020.31377,0.196647848,-0.028416811
male,57,0.012133312,,11900,1679.577994,27020.31377,0.196647848,-0.028401964
male,58,0.013075108,,,1679.577994,27020.31377,0.196647848,-0.028383801
male,59,0.014078641,,,1679.577994,27020.31377,0.196647848,-0.028361936
male,60,0.015184706,,,2066.974297,26460.91841,0.238371418,-0.029318058
male,61,0.016383479,,,2066.974297,26460.91841,0.238371418,-0.029297947
male,62,0.01768547,,9100,2066.974297,26460.91841,0.238371418,-0.029276843
male,63,0.019111466,,,2066.974297,26460.91841,0.238371418,-0.029254822
male,64,0.020682414,,,2066.974297,26460.91841,0.238371418,-0.029231966
male,65,0.022419448,,,2771.220048,28734.37279,0.266623177,-0.027188605
male,66,0.02435417,,,2771.220048,28734.37279,0.266623177,-0.027172457
male,67,0.02650826,,5900,2771.220048,28734.37279,0.266623177,-0.027152667
male,68,0.02891401,,,2771.220048,28734.37279,0.266623177,-0.027128162
male,69,0.031593872,,,2771.220048,28734.37279,0.266623177,-0.027098511
male,70,0.034581093,,,3428.650539,24938.09867,0.303527619,-0.027532465
male,71,0.037888801,,,3428.650539,24938.09867,0.303527619,-0.027506196
male,72,0.041551427,,4500,3428.650539,24938.09867,0.303527619,-0.027475917
male,73,0.045572845,,,3428.650539,24938.09867,0.303527619,-0.027442498
male,74,0.04997837,,,3428.650539,24938.09867,0.303527619,-0.027408684
male,75,0.054762463,,,4047.415495,22719.8741,0.354622681,-0.026929223
male,76,0.059930488,,,4047.415495,22719.8741,0.354622681,-0.02690765
male,77,0.065509659,,2500,4047.415495,22719.8741,0.354622681,-0.026886248
male,78,0.071506743,,,4047.415495,22719.8741,0.354622681,-0.026865154
male,79,0.077918299,,,4047.415495,22719.8741,0.354622681,-0.0268452
male,80,0.084762997,,,4497.483443,17493.59036,0.395673277,-0.026323441
male,81,0.092246877,,,4497.483443,17493.59036,0.395673277,-0.026311249
male,82,0.100848488,,1200,4497.483443,17493.59036,0.395673277,-0.02629948
male,83,0.110696951,,,4497.483443,17493.59036,0.395673277,-0.026288179
male,84,0.121986859,,,4497.483443,17493.59036,0.395673277,-0.026277387
male,85,0.134823656,,,4939.089123,15118.27382,0.499871639,-0.026197142
male,86,0.149080223,,,4939.089123,15118.27382,0.499871639,-0.026187863
male,87,0.164579875,,400,4939.089123,15118.27382,0.499871639,-0.026177144
male,88,0.181150243,,,4939.089123,15118.27382,0.499871639,-0.026165035
male,89,0.198633882,,,4939.089123,15118.27382,0.499871639,-0.026151613
male,90,0.216826049,,,5150.759332,11273.88191,0.499871639,-0.02644736
male,91,0.23574765,,,5150.759332,11273.88191,0.499871639,-0.026442683
male,92,0.257230465,,75,5150.759332,11273.88191,0.499871639,-0.026443641
male,93,0.281726509,,,5150.759332,11273.88191,0.499871639,-0.026450138
male,94,0.309532395,,,5150.759332,11273.88191,0.499871639,-0.026462046
male,95,0.339972355,,,4949.83246,8076.668208,0.499871639,-0.026756017
male,96,0.373123773,,,4949.83246,8076.668208,0.499871639,-0.026770142
male,97,0.409036478,,17.5,4949.83246,8076.668208,0.499871639,-0.026785034
male,98,0.447678695,,,4949.83246,8076.668208,0.499871639,-0.026801311
male,99,0.48901521,,,4949.83246,8076.668208,0.499871639,-0.026816335
male,100,0.53291787,,,4949.83246,8076.668208,0.499871639,-0.026816335
male,101,0.579175845,,,4949.83246,8076.668208,0.499871639,-0.026816335
male,102,0.627509264,,6.25,4949.83246,8076.668208,0.499871639,-0.026816335
male,103,0.677470701,,,4949.83246,8076.668208,0.499871639,-0.026816335
male,104,0.728525684,,,4949.83246,8076.668208,0.499871639,-0.026816335
male,105,0.779947671,,,4949.83246,8076.668208,0.499871639,-0.026816335
male,106,0.779947671,,,4949.83246,8076.668208,0.499871639,-0.026816335
male,107,0.779947671,,1.25,4949.83246,8076.668208,0.499871639,-0.026816335
male,108,0.779947671,,,4949.83246,8076.668208,0.499871639,-0.026816335
male,109,0.779947671,,,4949.83246,8076.668208,0.499871639,-0.026816335
male,110,0.779947671,,,4949.83246,8076.668208,0.499871639,-0.026816335
female,0,0.005243724,,,4990.236296,79823.72305,0.016837568,-0.012965823
female,1,0.000520135,,,1232.630942,31091.49398,0.032138412,-0.022060495
female,2,0.000150011,,44100,1232.630942,31091.49398,0.032138412,-0.022060495
female,3,0.000130008,,,1232.630942,31091.49398,0.032138412,-0.022060495
female,4,0.000110006,,,1232.630942,31091.49398,0.032138412,-0.022060493
female,5,0.000100005,,,626.472752,26104.21507,0.035087216,-0.022499932
female,6,8.00E-05,,,626.472752,26104.21507,0.035087216,-0.022499932
female,7,6.00E-05,,34700,626.472752,26104.21507,0.035087216,-0.022499899
female,8,6.00E-05,,,626.472752,26104.21507,0.035087216,-0.022499899
female,9,7.00E-05,,,626.472752,26104.21507,0.035087216,-0.022499865
female,10,0.000100005,,,605.731442,22849.06956,0.036171729,-0.022499948
female,11,0.000150011,,,605.731442,22849.06956,0.036171729,-0.022499938
female,12,0.000220024,,33800,605.731442,22849.06956,0.036171729,-0.022499927
female,13,0.000320051,,,605.731442,22849.06956,0.036171729,-0.022500208
female,14,0.000410084,,,605.731442,22849.06956,0.036171729,-0.022504135
female,15,0.000500125,,,946.0875928,17628.66075,0.101246422,-0.022509285
female,16,0.000580168,,,946.0875928,17628.66075,0.101246422,-0.022532459
female,17,0.000630199,,32600,946.0875928,17628.66075,0.101246422,-0.022586444
female,18,0.000650211,,,946.0875928,17628.66075,0.101246422,-0.022690989
female,19,0.000660218,,,946.0875928,17628.66075,0.101246422,-0.022858815
female,20,0.000650211,,,1255.919325,21555.93367,0.126132591,-0.023085875
female,21,0.000640205,,,1255.919325,21555.93367,0.126132591,-0.0234002
female,22,0.000620192,,30100,1255.919325,21555.93367,0.126132591,-0.023779486
female,23,0.00060018,,,1255.919325,21555.93367,0.126132591,-0.024187045
female,24,0.000590174,,,1255.919325,21555.93367,0.126132591,-0.024555348
female,25,0.000590174,,,1382.28115,20782.21779,0.1462453,-0.024659366
female,26,0.00060018,,,1382.28115,20782.21779,0.1462453,-0.024719969
female,27,0.000640205,,23100,1382.28115,20782.21779,0.1462453,-0.024588225
female,28,0.000680231,,,1382.28115,20782.21779,0.1462453,-0.024253436
female,29,0.000740274,,,1382.28115,20782.21779,0.1462453,-0.023735249
female,30,0.00080032,,,1558.634259,23283.84908,0.15098187,-0.022923886
female,31,0.000850361,,,1558.634259,23283.84908,0.15098187,-0.022465818
female,32,0.000890396,,21900,1558.634259,23283.84908,0.15098187,-0.022083429
female,33,0.000930433,,,1558.634259,23283.84908,0.15098187,-0.021819093
female,34,0.000970471,,,1558.634259,23283.84908,0.15098187,-0.021677954
female,35,0.00101051,,,1461.330774,27707.2919,0.15791191,-0.021836487
female,36,0.001060562,,,1461.330774,27707.2919,0.15791191,-0.021894549
female,37,0.001120628,,22300,1461.330774,27707.2919,0.15791191,-0.022291457
female,38,0.001200721,,,1461.330774,27707.2919,0.15791191,-0.023065225
female,39,0.001310859,,,1461.330774,27707.2919,0.15791191,-0.024195156
female,40,0.001441038,,,1283.583569,30228.92113,0.160344179,-0.024238142
female,41,0.001611297,,,1283.583569,30228.92113,0.160344179,-0.025249302
female,42,0.001821658,,21800,1283.583569,30228.92113,0.160344179,-0.026226361
female,43,0.002062125,,,1283.583569,30228.92113,0.160344179,-0.026903449
female,44,0.002332719,,,1283.583569,30228.92113,0.160344179,-0.027062526
female,45,0.002643491,,,1394.562817,27701.06087,0.180029941,-0.024671817
female,46,0.002974419,,,1394.562817,27701.06087,0.180029941,-0.023886182
female,47,0.00334559,,20500,1394.562817,27701.06087,0.180029941,-0.022721599
female,48,0.003736974,,,1394.562817,27701.06087,0.180029941,-0.021544267
female,49,0.004148594,,,1394.562817,27701.06087,0.180029941,-0.021119685
female,50,0.004580474,,,1551.352243,28956.4421,0.176320399,-0.021311345
female,51,0.005032643,,,1551.352243,28956.4421,0.176320399,-0.020921701
female,52,0.00549507,,17700,1551.352243,28956.4421,0.176320399,-0.020464365
female,53,0.005997952,,,1551.352243,28956.4421,0.176320399,-0.019939922
female,54,0.006541348,,,1551.352243,28956.4421,0.176320399,-0.019350485
female,55,0.00715554,,,1757.883865,30064.11242,0.196224746,-0.020123424
female,56,0.007840658,,,1757.883865,30064.11242,0.196224746,-0.019600658
female,57,0.00861702,,13100,1757.883865,30064.11242,0.196224746,-0.01901453
female,58,0.009494935,,,1757.883865,30064.11242,0.196224746,-0.01838423
female,59,0.010494879,,,1757.883865,30064.11242,0.196224746,-0.017733023
female,60,0.011637453,,,2106.337941,27463.66875,0.228254588,-0.019179692
female,61,0.012923145,,,2106.337941,27463.66875,0.228254588,-0.018861446
female,62,0.014372796,,10100,2106.337941,27463.66875,0.228254588,-0.018649253
female,63,0.015976955,,,2106.337941,27463.66875,0.228254588,-0.018533573
female,64,0.017695649,,,2106.337941,27463.66875,0.228254588,-0.018503673
female,65,0.019539662,,,2712.832902,28763.94492,0.261278443,-0.020104393
female,66,0.021458598,,,2712.832902,28763.94492,0.261278443,-0.020174873
female,67,0.023463119,,6600,2712.832902,28763.94492,0.261278443,-0.020297833
female,68,0.025512699,,,2712.832902,28763.94492,0.261278443,-0.020443503
female,69,0.027607607,,,2712.832902,28763.94492,0.261278443,-0.020613716
female,70,0.029706913,,,3209.787323,25110.72028,0.2848116,-0.021274061
female,71,0.031810636,,,3209.787323,25110.72028,0.2848116,-0.021429982
female,72,0.033918793,,5100,3209.787323,25110.72028,0.2848116,-0.021607149
female,73,0.036124711,,,3209.787323,25110.72028,0.2848116,-0.021875628
female,74,0.038543343,,,3209.787323,25110.72028,0.2848116,-0.022233503
female,75,0.041311698,,,3765.793617,20381.59757,0.321474213,-0.022290123
female,76,0.044547676,,,3765.793617,20381.59757,0.321474213,-0.022685264
female,77,0.048371252,,3100,3765.793617,20381.59757,0.321474213,-0.023163817
female,78,0.052894576,,,3765.793617,20381.59757,0.321474213,-0.023732022
female,79,0.058254308,,,3765.793617,20381.59757,0.321474213,-0.024423637
female,80,0.064559855,,,4210.289206,15147.24214,0.375736277,-0.024063715
female,81,0.071947231,,,4210.289206,15147.24214,0.375736277,-0.024598573
female,82,0.08053783,,1700,4210.289206,15147.24214,0.375736277,-0.025198077
female,83,0.090373386,,,4210.289206,15147.24214,0.375736277,-0.025860966
female,84,0.099312177,,,4210.289206,15147.24214,0.375736277,-0.026582448
female,85,0.109613993,,,4608.316346,11320.11624,0.477048978,-0.024810382
female,86,0.121252798,,,4608.316346,11320.11624,0.477048978,-0.025491978
female,87,0.134205906,,700,4608.316346,11320.11624,0.477048978,-0.026230947
female,88,0.148442005,,,4608.316346,11320.11624,0.477048978,-0.026984469
female,89,0.164037729,,,4608.316346,11320.11624,0.477048978,-0.027710431
female,90,0.181306073,,,4703.298246,7926.430284,0.477048978,-0.026029044
female,91,0.200660696,,,4703.298246,7926.430284,0.477048978,-0.026434933
female,92,0.222531239,,225,4703.298246,7926.430284,0.477048978,-0.026786423
female,93,0.247346596,,,4703.298246,7926.430284,0.477048978,-0.027103689
female,94,0.275384663,,,4703.298246,7926.430284,0.477048978,-0.027402273
female,95,0.306022569,,,4114.707137,4912.182254,0.477048978,-0.025595989
female,96,0.339312266,,,4114.707137,4912.182254,0.477048978,-0.025765572
female,97,0.3753191,,52.5,4114.707137,4912.182254,0.477048978,-0.02587566
female,98,0.414031697,,,4114.707137,4912.182254,0.477048978,-0.026008098
female,99,0.455406685,,,4114.707137,4912.182254,0.477048978,-0.026106301
female,100,0.499308864,,,4114.707137,4912.182254,0.477048978,-0.026106301
female,101,0.54557236,,,4114.707137,4912.182254,0.477048978,-0.026106301
female,102,0.593899309,,18.75,4114.707137,4912.182254,0.477048978,-0.026106301
female,103,0.643899978,,,4114.707137,4912.182254,0.477048978,-0.026106301
female,104,0.69502895,,,4114.707137,4912.182254,0.477048978,-0.026106301
female,105,0.746632349,,,4114.707137,4912.182254,0.477048978,-0.026106301
female,106,0.746632349,,,4114.707137,4912.182254,0.477048978,-0.026106301
female,107,0.746632349,,3.75,4114.707137,4912.182254,0.477048978,-0.026106301
female,108,0.746632349,,,4114.707137,4912.182254,0.477048978,-0.026106301
female,109,0.746632349,,,4114.707137,4912.182254,0.477048978,-0.026106301
female,110,0.746632349,,,4114.707137,4912.182254,0.477048978,-0.026106301
